Matricule	Qualite	Nom usuel	Prenom usuel	Etat	Date naissance	Date de deces	Groupe politique	Type d'app au grp politique	Commission permanente	Circonscription	Fonction au Bureau du Senat	Courrier electronique	PCS INSEE	Categorie professionnelle	Description de la profession
11010L	M.	Frogier	Pierre	ACTIF	16/11/1950		Les Républicains		commission des lois	Nouvelle-Calédonie		p.frogier@senat.fr	Autres personnes sans activité professionnelle	Commerce et industrie (Négociants)	Gérant de sociétés
000766	M.	Fruh	Charles	ANCIEN	28/05/1894	20/05/1982	RI		commission de la culture	Seine			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000533	M.	Fuzier	Claude	ANCIEN	02/06/1924	22/01/1997	SOCR		commission de la culture	Seine-Saint-Denis			Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
14034U	M.	Gabouty	Jean-Marc	ACTIF	17/05/1949		RDSE		commission des finances	Haute-Vienne	Vice-président du Sénat	jm.gabouty@senat.fr	Artisans, commercants et chefs d'entreprise	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
000675	M.	Gadoin	Jacques	ANCIEN	01/12/1892	19/04/1974	G.D.		commission de l'économie	Nièvre	Questeur du Sénat		Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Banquier
94003T	M.	Gaillard	Yann	ANCIEN	09/10/1936		Les Républicains		commission des finances	Aube		y.gaillard@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Inspecteur général des Finances
08001K	M.	Gallard	Maurice	ANCIEN	17/03/1891	12/08/1969	NI		Aucune (Président du Sénat)	Loiret			Policiers et militaires	Fonctionnaires (Militaires)	Lieutenant Colonel en retraite
59229L	M.	Gallet	Henri	ANCIEN	23/12/1921	18/05/2009	SOCR		commission des lois	Pas-de-Calais			Agriculteurs exploitants	Professions agricoles	Agriculteur retraité
000455	M.	Galley	Robert	ANCIEN	11/01/1921	08/06/2012	RPR		commission des affaires sociales	Aube			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
58668C	M.	Gamboa	Pierre	ANCIEN	01/02/1933	19/11/2014	C		commission des finances	Essonne			Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
000753	M.	Ganeval	Jean	ANCIEN	24/12/1894	12/01/1981	U.N.R.		commission des affaires étrangères	Seine			Policiers et militaires	Fonctionnaires (Militaires)	Général (de Corps d'armée)
13005X	Mme	Gaouyer	Marie-Françoise	ANCIEN	17/08/1949		SOCR		commission de l'aménagement du territoire et du développement durable	Seine-Maritime		mf.gaouyer@senat.fr	Professions intermédiaires de la santé et du travail social	Professions médicales (Autres)	Infirmière
56601X	M.	Garaudy	Roger	ANCIEN	17/07/1913	13/06/2012	C		commission de la culture	Seine			Instituteurs et assimilés	Enseignement secondaire	Professeur agrégé
89028U	M.	Garcia	Aubert	ANCIEN	07/09/1931	21/02/2000	SOCR		commission de l'économie	Gers			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
59534S	M.	Garcia	Jean	ANCIEN	05/06/1925	08/02/2012	C		commission des affaires étrangères	Seine-Saint-Denis			Ouvriers	Salariés (Ouvriers)	Tourneur
000131	M.	Garet	Pierre	ANCIEN	07/09/1905	10/12/1972	RI		commission des lois	Somme	Vice-président du Sénat		Avocats	Professions judiciaires et libérales (Avocats)	Avocat
58641Q	M.	Gargar	Marcel	ANCIEN	19/07/1911	24/12/2004	C	Apparenté	commission des affaires sociales	Guadeloupe			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Inspecteur central des Impôts
98041S	M.	Garrec	René	ANCIEN	24/12/1934		Les Républicains		commission des lois	Calvados		Non public	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Conseiller d'Etat
04035D	Mme	Garriaud-Maylam	Joëlle	ACTIF	20/03/1955		Les Républicains		commission des affaires étrangères	Français établis hors de France		j.garriaud-maylam@senat.fr	Cadres et Professions intellectuelles supérieures	Professions judiciaires et libérales (Divers)	Juriste internationale
98001J	M.	Gaspard	André	ANCIEN	17/02/1925	21/06/1999	RI		commission des affaires étrangères	Français établis hors de France			Anciens cadres	Professions judiciaires et libérales (Retraités)	Journaliste
14231L	Mme	Gatel	Françoise	ACTIF	14/03/1953		UC		commission des lois	Ille-et-Vilaine	Secrétaire du Sénat	f.gatel@senat.fr	Autres personnes sans activité professionnelle	Salariés (Employés)	
11083R	M.	Gattolin	André	ACTIF	24/06/1960		LaREM		commission de la culture	Hauts-de-Seine		a.gattolin@senat.fr	Autres personnes sans activité professionnelle	Professions judiciaires et libérales (Divers)	Consultant
80020W	M.	Gaud	Gérard	ANCIEN	02/06/1925	03/09/1996	SOCR		commission des affaires étrangères	Drôme			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
01017N	M.	Gaudin	Christian	ANCIEN	13/01/1950		UC		commission des finances	Maine-et-Loire		c.gaudin@senat.fr	Autres personnes sans activité professionnelle	Enseignement supérieur (sauf Professeurs de médecine)	Enseignant du supérieur
89029V	M.	Gaudin	Jean-Claude	ANCIEN	08/10/1939		Les Républicains		commission de la culture	Bouches-du-Rhône	Vice-président du Sénat		Instituteurs et assimilés	Enseignement (Retraités)	Professeur d'histoire-géographie
000306	M.	Gaudin	Pierre	ANCIEN	15/02/1913	02/01/1978	SOCR		commission de l'économie	Var			Agriculteurs exploitants	Professions agricoles	Agriculteur
000536	M.	Gaudon	Roger	ANCIEN	03/09/1924	12/02/1997	C		commission des finances	Val-de-Marne			Ouvriers	Salariés (Ouvriers)	Ouvrier
000137	M.	Gauthier	Abel	ANCIEN	17/11/1905	28/02/1991	SOCR		commission des affaires sociales	Puy-de-Dôme			Agriculteurs exploitants	Professions agricoles	Agriculteur
01053S	M.	Gautier	Charles	ANCIEN	25/01/1945	11/06/2014	SOCR		commission des lois	Loire-Atlantique		c.gautier@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Divers)	Ingénieur agronome
59535T	M.	Gautier	François	ANCIEN	23/04/1940		UC		commission des finances	Seine-Maritime			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Conseiller référendaire à la Cour des Comptes
01055U	Mme	Gautier	Gisèle	ANCIEN	09/12/1938		Les Républicains		commission des affaires étrangères	Loire-Atlantique		g.gautier@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
07024N	M.	Gautier	Jacques	ANCIEN	18/09/1946		Les Républicains		commission des affaires étrangères	Hauts-de-Seine		jacques.gautier@senat.fr	Professions libérales	Commerce et industrie (Chefs d'entreprises)	Conseiller d'entreprise
000319	M.	Gautier	Lucien	ANCIEN	27/07/1913	03/02/1992	RPR		commission des affaires étrangères	Maine-et-Loire			Commercants et assimilés	Commerce et industrie (Négociants)	Négociant
000071	M.	Gay	Etienne	ANCIEN	20/11/1902	04/03/1984	RI		commission des affaires sociales	Oran-Tlemcen			Commercants et assimilés	Commerce et industrie (Négociants)	Négociant
19695N	M.	Gay	Fabien	ACTIF	13/01/1984		CRCE		commission des affaires économiques	Seine-Saint-Denis		f.gay@senat.fr	Cadres de la publicité; cadres des relations publiques	Salariés (Cadres divers)	Directeur événementiel
95034F	M.	Gélard	Patrice	ANCIEN	03/08/1938		Les Républicains		commission des lois	Seine-Maritime		p.gelard@senat.fr	Professeurs, professions scientifiques	Enseignement secondaire	Professeur d'université
14199E	M.	Genest	Jacques	ACTIF	06/08/1950		Les Républicains		commission des finances	Ardèche		j.genest@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Inspecteur du trésor
11061K	Mme	Génisson	Catherine	ANCIEN	22/04/1949		SOCR		commission des affaires sociales	Pas-de-Calais		c.genisson@senat.fr	Autres personnes sans activité professionnelle	Professions médicales (Médecins)	Médecin anesthésiste
71017B	M.	Genton	Jacques	ANCIEN	22/09/1918	27/11/2008	UC		commission des affaires étrangères	Cher			Anciens cadres	Fonctionnaires (Retraités)	Secrétaire général honoraire du comité économique et social des communautés européennes
02006P	M.	Geoffroy	André	ANCIEN	27/08/1941	13/07/2019	Les Républicains		commission des affaires sociales	Var		Non public	Medecins libéraux généralistes	Professions médicales (Médecins)	Chirurgien gynécologue obstétricien
000114	M.	Geoffroy	Jean	ANCIEN	07/01/1905	03/02/1991	SOCR		commission des lois	Vaucluse			Avocats	Professions judiciaires et libérales (Divers)	Notaire
86006A	M.	Gérard	Alain	ANCIEN	02/12/1937	26/02/2018	Les Républicains		commission de l'économie	Finistère		a.gerard@senat.fr	Cadres d'entreprise	Salariés (Cadres divers)	Cadre administratif
89030N	M.	Gerbaud	François	ANCIEN	10/04/1927	13/01/2010	Les Républicains		commission de l'économie	Indre		f.gerbaud@senat.fr	Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
14355X	Mme	Gerbaud	Frédérique	ACTIF	03/07/1959		Les Républicains		commission des affaires sociales	Indre		f.gerbaud@senat.fr	Cadres de la publicité; cadres des relations publiques	Salariés (Cadres divers)	Chargée de communication
58656X	M.	Gerin	Alfred	ANCIEN	22/10/1924	01/06/2009	UC	Rattaché	commission des affaires étrangères	Rhône			Agriculteurs exploitants	Professions agricoles	Agriculteur
11108H	M.	Germain	Jean	ANCIEN	11/09/1947	07/04/2015	SOCR		commission des finances	Indre-et-Loire		j.germain@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Retraités)	Inspecteur général de l'Education nationale
08035V	Mme	Ghali	Samia	ACTIF	10/06/1968		SOCR		commission de la culture	Bouches-du-Rhône		s.ghali@senat.fr	Employés civils et agents de service de la fonction publique	Fonctionnaires (Retraités)	Fonctionnaire territoriale
62001R	M.	Giacobbi	François	ANCIEN	19/07/1919	07/03/1997	RDSE		commission des lois	Haute-Corse			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
19820Y	M.	Gillé	Hervé	ACTIF	09/10/1960		SOCR		commission de l'aménagement du territoire et du développement durable	Gironde		h.gille@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Directeur de mission locale
08048B	M.	Gilles	Bruno	ACTIF	26/12/1960		Les Républicains		commission des affaires sociales	Bouches-du-Rhône		b.gilles@senat.fr	Professions libérales	Sans profession déclarée	Attaché de direction
11089X	Mme	Gillot	Dominique	ANCIEN	11/07/1949		SOCR		commission de la culture	Val-d'Oise		d.gillot@senat.fr	Autres personnes sans activité professionnelle	Enseignement primaire	Enseignante
04095R	M.	Gillot	Jacques	ANCIEN	04/03/1948		LaREM		commission des affaires étrangères	Guadeloupe		j.gillot@senat.fr	Autres personnes sans activité professionnelle	Professions médicales (Médecins)	Médecin
15447F	M.	Ginesta	Jordi	ACTIF	08/07/1942		Les Républicains		commission de l'aménagement du territoire et du développement durable	Var		j.ginesta@senat.fr	Professions intermédiaires administratives et commerciales d'entreprise	Professions judiciaires et libérales (Divers)	Agent d'assurance
88012G	M.	Ginésy	Charles	ANCIEN	12/05/1922	30/12/2012	Les Républicains		commission de l'économie	Alpes-Maritimes		c.ginesy@senat.fr	Instituteurs et assimilés	Enseignement secondaire	Enseignant
04017B	M.	Ginoux	Georges	ANCIEN	08/11/1933		Les Républicains		commission de l'économie	Cher		Non public	Anciens artisans, commercants, chefs d'entreprise	Commerce et industrie (Retraités)	Industriel retraité
04064J	M.	Giraud	Adrien	ANCIEN	04/10/1936	24/05/2018	UC		commission des affaires sociales	Mayotte		a.giraud@senat.fr	Artisans, commercants et chefs d'entreprise	Commerce et industrie (Chefs d'entreprises)	Directeur de société hôtelière
14014Q	Mme	Giraud	Éliane	ANCIEN	12/03/1952		SOCR		commission des affaires étrangères	Isère		e.giraud@senat.fr	Cadres administratifs et commerciaux d'entreprise	Fonctionnaires (Cadres moyens)	Fonctionnaire territorial
98017S	M.	Giraud	Francis	ANCIEN	04/07/1932	23/10/2010	Les Républicains		commission des affaires sociales	Bouches-du-Rhône		f.giraud@senat.fr	Professeurs, professions scientifiques	Fonctionnaires (Divers)	Professeur honoraire à la faculté de médecine
000599	M.	Giraud	Michel	ANCIEN	14/07/1929	27/10/2011	RPR		commission des affaires étrangères	Val-de-Marne			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de sociétés
000309	M.	Giraud	Pierre	ANCIEN	28/02/1913	14/05/1988	SOCR		commission des affaires étrangères	Paris			Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeur agrégé d'université
71018C	M.	Girault	Jean-Marie	ANCIEN	09/02/1926	01/05/2016	RI		commission des lois	Calvados			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
78003A	M.	Girod	Paul	ANCIEN	27/06/1931		Les Républicains		commission des finances	Aisne		p.girod@senat.fr	Agriculteurs exploitants	Professions agricoles	Agriculteur
08041T	Mme	Giudicelli	Colette	ACTIF	24/11/1943		Les Républicains		commission des affaires sociales	Alpes-Maritimes		c.giudicelli@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession déclarée
98009S	M.	Godard	Serge	ANCIEN	25/03/1936		SOCR		commission de l'économie	Puy-de-Dôme		s.godard@senat.fr	Autres personnes sans activité professionnelle	Enseignement (Retraités)	Professeur d'université
01011G	M.	Godefroy	Jean-Pierre	ANCIEN	23/09/1944		SOCR		commission des affaires sociales	Manche		jp.godefroy@senat.fr	Ouvriers qualifiés de type industriel	Salariés (Ouvriers)	Ouvrier chaudronnier
59536U	M.	Goetschy	Henri	ANCIEN	04/09/1926		UC		commission des finances	Haut-Rhin			Vétérinaires (libéraux ou salariés)	Professions médicales (Vétérinaires)	Vétérinaire
19387D	M.	Gold	Éric	ACTIF	07/06/1964		RDSE		commission de l'aménagement du territoire et du développement durable	Puy-de-Dôme		e.gold@senat.fr	Instituteurs et assimilés	Enseignement primaire	Professeur des écoles
58631N	Mme	Goldet	Cécile	ANCIEN	15/03/1914	27/10/2019	SOCR		commission des affaires sociales	Paris			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
59575C	M.	Golliet	Jacques	ANCIEN	14/12/1931		UC		commission des affaires étrangères	Haute-Savoie			Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Maître de conférences
000062	M.	Golvan	Victor	ANCIEN	06/04/1902	16/08/1986	U.D.R.		commission de l'économie	Morbihan			Vétérinaires (libéraux ou salariés)	Professions médicales (Vétérinaires)	Vétérinaire
000210	M.	Gonard	Pierre	ANCIEN	15/04/1909	23/09/1989	SOCR		commission de la culture	Allier			Artisans	Commerce et industrie (Artisans)	Artisan menuisier
19347U	M.	Gontard	Guillaume	ACTIF	11/03/1971		CRCE	Rattaché	commission de l'aménagement du territoire et du développement durable	Isère		g.gontard@senat.fr	Cadres et Professions intellectuelles supérieures	Professions judiciaires et libérales (Divers)	Architecte
07026Q	Mme	Gonthier-Maurin	Brigitte	ANCIEN	23/04/1956		CRCE		commission de la culture	Hauts-de-Seine		b.gonthier-maurin@senat.fr	Employés civils et agents de service de la fonction publique	Salariés (Cadres divers)	Agent de maîtrise EDF
11015D	M.	Gorce	Gaëtan	ANCIEN	02/12/1958		SOCR		commission des affaires étrangères	Nièvre		g.gorce@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Administrateur civil
04072J	M.	Goujon	Philippe	ANCIEN	30/04/1954		Les Républicains		commission de la culture	Paris		p.goujon@senat.fr	Cadres d'entreprise	Salariés (Cadres divers)	Cadre de société
92024Q	M.	Goulet	Daniel	ANCIEN	28/10/1928	25/02/2007	Les Républicains		commission des affaires étrangères	Orne		d.goulet@senat.fr	Instituteurs et assimilés	Enseignement primaire	Directeur d'école libre
07004J	Mme	Goulet	Nathalie	ACTIF	24/05/1958		UC		commission des finances	Orne		n.goulet@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat au Barreau de Paris
01007L	Mme	Gourault	Jacqueline	ANCIEN	20/11/1950		UC		commission de l'aménagement du territoire et du développement durable	Loir-et-Cher		j.gourault@senat.fr	Autres personnes sans activité professionnelle	Enseignement (Retraités)	Professeur d'histoire-géographie
95035G	M.	Gournac	Alain	ANCIEN	13/09/1943		Les Républicains		commission des affaires étrangères	Yvelines		a.gournac@senat.fr	Cadres de la publicité; cadres des relations publiques	Autres professions	Chef de publicité
59230D	Mme	Gournay	Marie-Fanny	ANCIEN	06/03/1926		RPR		commission des affaires sociales	Nord			Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession déclarée
04060E	Mme	Gousseau	Adeline	ANCIEN	24/08/1936		Les Républicains		commission de l'économie	Yvelines		a.gousseau@senat.fr	Anciens agriculteurs exploitants	Professions agricoles	Agricultrice retraitée
59231E	M.	Goussebaire-Dupin	Yves	ANCIEN	19/07/1930		U.R.E.I.		commission de l'économie	Landes			Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
78006D	M.	Gouteyron	Adrien	ANCIEN	13/05/1933		Les Républicains		commission des finances	Haute-Loire		a.gouteyron@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Inspecteur général de l'Education nationale
58673Y	Mme	Goutmann	Marie-Thérèse	ANCIEN	29/08/1933	29/09/2016	C		commission des affaires étrangères	Seine-Saint-Denis			Instituteurs et assimilés	Enseignement primaire	Directrice d'école
08056B	Mme	Goy-Chavent	Sylvie	ACTIF	23/05/1963		NI		commission des affaires étrangères	Ain		s.goy-chavent@senat.fr	Professeurs, professions scientifiques	Enseignement secondaire	Professeur de l'enseignement professionnel
14211G	M.	Grand	Jean-Pierre	ACTIF	18/11/1950		Les Républicains		commission des affaires étrangères	Hérault		jp.grand@senat.fr	Cadres de la fonction publique	Fonctionnaires (Divers)	Cadre de la fonction publique
000097	M.	Grand	Lucien	ANCIEN	26/03/1904	08/05/1978	G.D.		commission des affaires sociales	Charente-Maritime	Secrétaire du Sénat		Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
58816V	M.	Grandon	Jacques	ANCIEN	09/05/1927		UC		commission des lois	Vienne			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
89031P	M.	Grandon	Jean	ANCIEN	25/02/1926	20/12/2010	NI		commission de l'économie	Eure-et-Loir			Agriculteurs exploitants	Professions agricoles	Agriculteur
000765	M.	Grangier	Edouard	ANCIEN	28/07/1899	27/03/1997	G.D.		commission des affaires étrangères	Vaucluse			Policiers et militaires	Fonctionnaires (Militaires)	Chef de bataillon (infanterie de marine)
000370	M.	Gravier	Jean	ANCIEN	27/10/1915	03/08/1991	U.C.D.P.		commission des affaires sociales	Jura	Secrétaire du Sénat		Cadres d'entreprise	Salariés (Cadres divers)	Directeur commercial
57445J	M.	Gravier	Robert	ANCIEN	05/09/1905	15/07/2005	RI		commission des affaires étrangères	Meurthe-et-Moselle	Questeur du Sénat		Agriculteurs exploitants	Professions agricoles	Agriculteur
59537V	M.	Graziani	Paul	ANCIEN	14/02/1925	30/07/2012	RPR		commission des lois	Hauts-de-Seine			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Administrateur civil
19565D	Mme	Gréaume	Michelle	ACTIF	30/10/1967		CRCE		commission des affaires sociales	Nord		m.greaume@senat.fr	Cadres de la fonction publique	Fonctionnaires (Cadres moyens)	Fonctionnaire territoriale
000226	M.	Gregory	Léon-Jean	ANCIEN	01/11/1909	22/10/1982	NI		commission de la culture	Pyrénées-Orientales			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
19727D	Mme	Grelet-Certenais	Nadine	ACTIF	17/01/1959		SOCR		commission des affaires sociales	Sarthe		n.grelet-certenais@senat.fr	Employés civils et agents de service de la fonction publique	Salariés (Employés)	Travailleur social
14033T	M.	Gremillet	Daniel	ACTIF	31/07/1953		Les Républicains		commission des affaires économiques	Vosges		d.gremillet@senat.fr	Autres personnes sans activité professionnelle	Professions agricoles	Agriculteur
95036H	M.	Grignon	Francis	ANCIEN	03/01/1944		Les Républicains	Rattaché	commission de l'aménagement du territoire et du développement durable	Bas-Rhin		f.grignon@senat.fr	Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
98003L	M.	Grillot	Louis	ANCIEN	18/04/1932		Les Républicains	Apparenté	commission de l'économie	Côte-d'Or		l.grillot@senat.fr	Agriculteurs exploitants	Professions agricoles	Agriculteur
59232F	M.	Grimaldi	Roland	ANCIEN	16/11/1933		SOCR		commission de l'économie	Nord			Instituteurs et assimilés	Enseignement secondaire	Professeur
000551	Mme	Gros	Brigitte	ANCIEN	12/06/1925	11/03/1985	G.D.		commission de la culture	Yvelines	Secrétaire du Sénat		Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
000067	M.	Gros	Louis	ANCIEN	18/05/1902	08/10/1984	RI		commission des affaires sociales	Français établis hors de France	Vice-président du Sénat		Avocats	Professions judiciaires et libérales (Avocats)	Avocat
11049P	M.	Grosdidier	François	ACTIF	25/02/1961		Les Républicains		commission des lois	Moselle		f.grosdidier@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Fonctionnaire territorial
14123H	M.	Grosperrin	Jacques	ACTIF	17/10/1955		Les Républicains		commission de la culture	Doubs		j.grosperrin@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeur agrégé
88009M	M.	Gruillot	Georges	ANCIEN	14/08/1931		Les Républicains		commission de l'économie	Doubs			Vétérinaires (libéraux ou salariés)	Professions médicales (Vétérinaires)	Docteur vétérinaire
14026U	Mme	Gruny	Pascale	ACTIF	18/02/1960		Les Républicains		commission des affaires sociales	Aisne		p.gruny@senat.fr	Cadres d'entreprise	Salariés (Cadres divers)	Directeur administratif et financier
89032Q	M.	Guena	Yves	ANCIEN	06/07/1922	03/03/2016	RPR		commission des affaires étrangères	Dordogne	Vice-président du Sénat		Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Conseiller d'Etat honoraire
01057W	M.	Guené	Charles	ACTIF	06/04/1952		Les Républicains		commission des finances	Haute-Marne		c.guene@senat.fr	Autres personnes sans activité professionnelle	Professions judiciaires et libérales (Retraités)	Avocat
58949J	M.	Guenier	Jean	ANCIEN	11/03/1923	25/10/2007	UC		commission de l'économie	Eure			Anciens agriculteurs exploitants	Professions agricoles	Exploitant agricole
000224	M.	Gueril	Georges	ANCIEN	28/10/1909	02/03/1977	U.N.R.		commission des affaires sociales	Guyane			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Inspecteur Central des Douanes
98022P	M.	Guérini	Jean-Noël	ACTIF	01/01/1951		RDSE		commission des affaires étrangères	Bouches-du-Rhône		jn.guerini@senat.fr	Autres personnes sans activité professionnelle	Autres professions	Sans profession déclarée
56531B	M.	Gueroui	Mohammed	ANCIEN	21/12/1915	09/06/2000	U.N.R.		commission de l'économie	Setif-Batna			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Attaché de Préfecture
11064N	M.	Guerriau	Joël	ACTIF	09/11/1957		Les Indépendants		commission des affaires étrangères	Loire-Atlantique	Secrétaire du Sénat	j.guerriau@senat.fr	Cadres et Professions intellectuelles supérieures	Salariés (Cadres divers)	Directeur général de banque
01040M	M.	Guerry	Michel	ANCIEN	02/12/1932		Les Républicains		commission des affaires étrangères	Français établis hors de France		m.guerry@senat.fr	Autres personnes sans activité professionnelle	Commerce et industrie (Chefs d'entreprises)	Ingénieur
01002F	M.	Guichard	Pierre	ANCIEN	01/05/1948		RDSE		commission de la culture	Jura			Cadres administratifs et commerciaux d'entreprise	Commerce et industrie (Chefs d'entreprises)	Gérant de société
19691J	Mme	Guidez	Jocelyne	ACTIF	26/09/1956		UC		commission des affaires sociales	Essonne		j.guidez@senat.fr	Professions de l'information des arts et spectacles	Autres professions	Artiste
58332E	M.	Guillard	Paul	ANCIEN	17/11/1910	19/11/2008	U.R.E.I.		Aucune (Président du Sénat)	Loire-Atlantique	Questeur du Sénat		Agriculteurs exploitants	Professions agricoles	Maraîcher
08016S	M.	Guillaume	Didier	ANCIEN	11/05/1959		RDSE		commission de la culture	Drôme		d.guillaume@senat.fr	Professions intermédiaires administratives de la fonction publique	Autres professions	Agent du Trésor public
59233G	M.	Guillaume	Robert	ANCIEN	25/04/1922	07/04/2004	SOCR		commission de la culture	Nièvre			Anciens cadres	Fonctionnaires (Retraités)	Retraité de l'éducation nationale
58625Q	M.	Guillaumot	Paul	ANCIEN	08/07/1913	11/11/2011	U.R.E.I.		commission de l'économie	Yonne			Agriculteurs exploitants	Professions agricoles	Agriculteur
000216	M.	Guille	Georges	ANCIEN	20/07/1909	17/11/1985	SOCR		commission des affaires étrangères	Aude			Instituteurs et assimilés	Enseignement primaire	Instituteur
14081Q	Mme	Guillemot	Annie	ACTIF	27/01/1956		SOCR		commission des affaires économiques	Rhône	Secrétaire du Sénat	a.guillemot@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Ingénieur
19553Y	Mme	Guillotin	Véronique	ACTIF	03/11/1962		RDSE		commission des affaires sociales	Meurthe-et-Moselle		v.guillotin@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000459	M.	Guillou	Louis	ANCIEN	06/03/1921	07/03/1998	U.C.D.P.		commission des affaires sociales	Finistère			Agriculteurs exploitants	Professions agricoles	Cultivateur exploitant
000721	M.	Guislain	Marcel	ANCIEN	14/06/1899	10/07/1986	SOCR		commission des affaires sociales	Nord			Medecins libéraux généralistes	Professions médicales (Médecins)	Medecin
59538W	M.	Guyomard	Bernard	ANCIEN	02/06/1926	10/11/2010	UC		commission des affaires étrangères	Paris			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Administrateur civil
000092	M.	Guyot	Raymond	ANCIEN	17/11/1903	17/04/1986	C		commission des affaires étrangères	Paris			Employés administratifs d'entreprise	Salariés (Employés)	Comptable
69001W	M.	Habert	Jacques	ANCIEN	26/09/1919	06/08/2012	NI		commission des affaires étrangères	Français établis hors de France	Secrétaire du Sénat		Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeur, directeur de journal
86030A	M.	Haenel	Hubert	ANCIEN	20/05/1942	10/08/2015	Les Républicains		commission des affaires étrangères	Haut-Rhin		h.haenel@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Maître des requêtes au Conseil d'Etat
000162	M.	Hakiki	Djilali	ANCIEN	28/03/1907	12/08/1962	G.D.	Rattaché	commission de la culture	Oran-Tlemcen			Agriculteurs exploitants	Professions agricoles	Agriculteur
000602	M.	Hamecher	Marceau	ANCIEN	29/08/1929	27/08/1978	G.D.S.R.G.		commission des affaires sociales	Tarn-et-Garonne			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
86031B	M.	Hamel	Emmanuel	ANCIEN	09/01/1922	04/11/2003	Les Républicains		commission des affaires étrangères	Rhône		Non public	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Conseiller honoraire à la Cour des Comptes
58115W	M.	Hammann	Jean-Paul	ANCIEN	03/10/1925		RPR		commission des affaires sociales	Bas-Rhin			Agriculteurs exploitants	Professions agricoles	Exploitant agricole 
000218	M.	Hamon	Yves	ANCIEN	09/09/1909	24/10/1980	UC		commission de l'économie	Finistère			Agriculteurs exploitants	Professions agricoles	Exploitant agricole
19725B	Mme	Harribey	Laurence	ACTIF	08/02/1953		SOCR		commission des lois	Gironde		l.harribey@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Enseignante chercheur
