Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Motif debut de mandat	Date de fin de mandat	Annee de fin de mandat	Motif fin de mandat	Commentaire
000536	M.	Gaudon	Roger	ANCIEN	2805	22/09/1968	02/10/1968		Election	02/10/1977		Ne se représente pas	
000137	M.	Gauthier	Abel	ANCIEN	2808	26/09/1965	02/10/1965		Election	01/10/1974		Ne se représente pas	
01053S	M.	Gautier	Charles	ANCIEN	6507	23/09/2001	01/10/2001		Election	30/09/2011		Ne se représente pas	
59535T	M.	Gautier	François	ANCIEN	2811		06/02/1994		Election	24/09/1995		Ne se représente pas	
01055U	Mme	Gautier	Gisèle	ANCIEN	6511	23/09/2001	01/10/2001		Election	30/09/2011		Ne se représente pas	
07024N	M.	Gautier	Jacques	ANCIEN	11247		25/06/2007		Remplace	23/07/2009		Reprise mandat d'ancien membre du Gvt	En remplacement de M. Roger Karoutchi, nommé membre du Gouvernement
07024N	M.	Gautier	Jacques	ANCIEN	11983		29/07/2009		Remplace	30/09/2011		Fin de mandat	en remplacement de M. Roger Karoutchi
07024N	M.	Gautier	Jacques	ANCIEN	12754	25/09/2011	01/10/2011		Renouvellement 1	31/12/2016		Démissionnaire	
000319	M.	Gautier	Lucien	ANCIEN	2813	26/09/1965	02/10/1965		Election	01/10/1974		Fin de mandat	
000319	M.	Gautier	Lucien	ANCIEN	2814	22/09/1974	02/10/1974		Renouvellement	02/10/1983		Non réélu	
000071	M.	Gay	Etienne	ANCIEN	9535		08/06/1958		Renouvellement 1	31/05/1959		Fin de mandat	
000071	M.	Gay	Etienne	ANCIEN	9536	31/05/1959	31/05/1959		Renouvellement 2	04/07/1962		Cessation de mandat (1962)	
19695N	M.	Gay	Fabien	ACTIF	51208	24/09/2017	02/10/2017		Election			En Cours	
95034F	M.	Gélard	Patrice	ANCIEN	248	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95034F	M.	Gélard	Patrice	ANCIEN	10904	26/09/2004	01/10/2004		Renouvellement 1	30/09/2014		Ne se représente pas	
14199E	M.	Genest	Jacques	ACTIF	14069	28/09/2014	01/10/2014		Election			En Cours	
11061K	Mme	Génisson	Catherine	ANCIEN	12698	25/09/2011	01/10/2011		Election	01/10/2017		Non réélu	
71017B	M.	Genton	Jacques	ANCIEN	249	26/09/1971	02/10/1971		Election	01/10/1980		Fin de mandat	
71017B	M.	Genton	Jacques	ANCIEN	250	28/09/1980	02/10/1980		Renouvellement 1	01/10/1989		Fin de mandat	
71017B	M.	Genton	Jacques	ANCIEN	251	24/09/1989	02/10/1989		Renouvellement 2	30/09/1998		Ne se représente pas	
02006P	M.	Geoffroy	André	ANCIEN	6761		18/07/2002		Remplace	30/09/2004		Non réélu	En remplacement de M. Hubert Falco, nommé membre du Gouvernement
000114	M.	Geoffroy	Jean	ANCIEN	2819		08/06/1958		Renouvellement 2	27/04/1959		Fin de mandat	
000114	M.	Geoffroy	Jean	ANCIEN	2820	26/04/1959	28/04/1959		Renouvellement 3	01/10/1968		Fin de mandat	
000114	M.	Geoffroy	Jean	ANCIEN	2821	22/09/1968	02/10/1968		Renouvellement	02/10/1977		Fin de mandat	
000114	M.	Geoffroy	Jean	ANCIEN	2822	25/09/1977	03/10/1977		Renouvellement	01/10/1986		Ne se représente pas	
86006A	M.	Gérard	Alain	ANCIEN	252	28/09/1986	02/10/1986		Election	01/10/1989		Fin de mandat	
86006A	M.	Gérard	Alain	ANCIEN	253	24/09/1989	02/10/1989		Renouvellement 1	30/09/1998		Fin de mandat	
86006A	M.	Gérard	Alain	ANCIEN	5179	27/09/1998	01/10/1998		Renouvellement 2	30/09/2008		Ne se représente pas	
89030N	M.	Gerbaud	François	ANCIEN	254	24/09/1989	02/10/1989		Election	30/09/1998		Fin de mandat	
89030N	M.	Gerbaud	François	ANCIEN	5120	27/09/1998	01/10/1998		Renouvellement 1	30/09/2008		Ne se représente pas	
14355X	Mme	Gerbaud	Frédérique	ACTIF	15334		18/11/2016		Remplace			En Cours	en remplacement de M. Louis Pinton, décédé
58656X	M.	Gerin	Alfred	ANCIEN	2825	25/09/1977	03/10/1977		Election	01/10/1986		Non réélu	
11108H	M.	Germain	Jean	ANCIEN	12652	25/09/2011	01/10/2011		Election	07/04/2015		Décédé	
08035V	Mme	Ghali	Samia	ACTIF	11610	21/09/2008	01/10/2008		Election	30/09/2014		Fin de mandat	
08035V	Mme	Ghali	Samia	ACTIF	14200	28/09/2014	01/10/2014		Renouvellement			En Cours	
62001R	M.	Giacobbi	François	ANCIEN	2827	23/09/1962	02/10/1962		Election	01/10/1971		Fin de mandat	
62001R	M.	Giacobbi	François	ANCIEN	2828	26/09/1971	02/10/1971		Renouvellement	01/10/1980		Fin de mandat	
62001R	M.	Giacobbi	François	ANCIEN	2829	28/09/1980	02/10/1980		Renouvellement 2	01/10/1989		Fin de mandat	
62001R	M.	Giacobbi	François	ANCIEN	2830	24/09/1989	02/10/1989		Renouvellement 3	07/03/1997		Décédé	
19820Y	M.	Gillé	Hervé	ACTIF	51691		28/08/2019		Remplace			En Cours	en remplacement de M. Madrelle Philippe décédé le 27 août 2019
08048B	M.	Gilles	Bruno	ACTIF	11675	21/09/2008	01/10/2008		Election	30/09/2014		Fin de mandat	
08048B	M.	Gilles	Bruno	ACTIF	14207	28/09/2014	01/10/2014		Renouvellement			En Cours	
11089X	Mme	Gillot	Dominique	ANCIEN	12685	25/09/2011	01/10/2011		Election	01/10/2017		Ne se représente pas	
04095R	M.	Gillot	Jacques	ANCIEN	11029	26/09/2004	01/10/2004		Election	30/09/2011		Fin de mandat	
04095R	M.	Gillot	Jacques	ANCIEN	12660	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Ne se représente pas	
15447F	M.	Ginesta	Jordi	ACTIF	51008		22/09/2017		Remplace			En Cours	en remplacement de M. Hubert Falco, démissionnaire.
88012G	M.	Ginésy	Charles	ANCIEN	255	11/09/1988	11/09/1988		Election	01/10/1989		Fin de mandat	
88012G	M.	Ginésy	Charles	ANCIEN	256	24/09/1989	02/10/1989		Renouvellement 1	30/09/1998		Fin de mandat	
88012G	M.	Ginésy	Charles	ANCIEN	5180	27/09/1998	01/10/1998		Renouvellement 2	30/09/2008		Ne se représente pas	
04017B	M.	Ginoux	Georges	ANCIEN	10699		01/05/2004		Remplace	30/06/2005		Démissionnaire	En remplacement de M. Serge Lepeltier, nommé membre du Gouvernement
04064J	M.	Giraud	Adrien	ANCIEN	10890	26/09/2004	01/10/2004		Election	30/09/2011		Non réélu	
14014Q	Mme	Giraud	Éliane	ANCIEN	13771		10/05/2014		Remplace	17/06/2017		Reprise mandat d'ancien membre du Gvt	en remplacement de M. André Vallini, nommé membre du gouvernement
98017S	M.	Giraud	Francis	ANCIEN	5066	27/09/1998	01/10/1998		Election	30/09/2008		Ne se représente pas	
000599	M.	Giraud	Michel	ANCIEN	2832	25/09/1977	03/10/1977		Election	01/10/1986		Fin de mandat	
000599	M.	Giraud	Michel	ANCIEN	2833	28/09/1986	02/10/1986		Renouvellement	03/10/1988		Élu député	
000309	M.	Giraud	Pierre	ANCIEN	2837	22/09/1968	02/10/1968		Election	02/10/1977		Ne se représente pas	
71018C	M.	Girault	Jean-Marie	ANCIEN	257	26/09/1971	02/10/1971		Election	01/10/1980		Fin de mandat	
71018C	M.	Girault	Jean-Marie	ANCIEN	258	28/09/1980	02/10/1980		Renouvellement 1	01/10/1989		Fin de mandat	
71018C	M.	Girault	Jean-Marie	ANCIEN	259	24/09/1989	02/10/1989		Renouvellement 2	30/09/1998		Non réélu	
78003A	M.	Girod	Paul	ANCIEN	260		07/05/1978		Remplace	01/10/1980		Fin de mandat	En remplacement de M. Jacques PELLETIER, nommé membre du Gouvernement
78003A	M.	Girod	Paul	ANCIEN	261	28/09/1980	02/10/1980		Renouvellement 1	01/10/1989		Fin de mandat	
78003A	M.	Girod	Paul	ANCIEN	262	24/09/1989	02/10/1989		Renouvellement 2	30/09/1998		Fin de mandat	
78003A	M.	Girod	Paul	ANCIEN	5121	27/09/1998	01/10/1998		Renouvellement 3	30/09/2008		Ne se représente pas	
08041T	Mme	Giudicelli	Colette	ACTIF	11642	21/09/2008	01/10/2008		Election	30/09/2014		Fin de mandat	
08041T	Mme	Giudicelli	Colette	ACTIF	14222	28/09/2014	01/10/2014		Renouvellement			En Cours	
98009S	M.	Godard	Serge	ANCIEN	5028	27/09/1998	28/09/1998		Election	30/09/2001		Non réélu	
98009S	M.	Godard	Serge	ANCIEN	12006		07/03/2010		Remplace	30/09/2011		Ne se représente pas	en remplacement de M. Michel Charasse, nommé membre du Conseil constitutionnel
01011G	M.	Godefroy	Jean-Pierre	ANCIEN	6379	23/09/2001	01/10/2001		Election	30/09/2011		Fin de mandat	
01011G	M.	Godefroy	Jean-Pierre	ANCIEN	12625	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Ne se représente pas	
59536U	M.	Goetschy	Henri	ANCIEN	2840	25/09/1977	03/10/1977		Election	01/10/1986		Fin de mandat	
59536U	M.	Goetschy	Henri	ANCIEN	2841	28/09/1986	02/10/1986		Renouvellement	01/10/1995		Ne se représente pas	
19387D	M.	Gold	Éric	ACTIF	51237	24/09/2017	02/10/2017		Election			En Cours	
58631N	Mme	Goldet	Cécile	ANCIEN	2843		29/05/1979		Remplace	01/10/1986		Ne se représente pas	En remplacement de M. Georges DAYAN, décédé
59575C	M.	Golliet	Jacques	ANCIEN	2845	28/09/1986	02/10/1986		Election	01/10/1995		Non réélu	
000062	M.	Golvan	Victor	ANCIEN	2847		08/06/1958		Election	27/04/1959		Fin de mandat	
000062	M.	Golvan	Victor	ANCIEN	2848	26/04/1959	28/04/1959		Renouvellement 1	01/10/1965		Fin de mandat	
000062	M.	Golvan	Victor	ANCIEN	2849	26/09/1965	02/10/1965		Renouvellement 2	01/10/1974		Non réélu	
000210	M.	Gonard	Pierre	ANCIEN	2852		24/11/1970		Remplace	01/10/1971		Non réélu	En remplacement de M. Roger BESSON, décédé
19347U	M.	Gontard	Guillaume	ACTIF	51154	24/09/2017	02/10/2017		Election			En Cours	
07026Q	Mme	Gonthier-Maurin	Brigitte	ANCIEN	11262		29/06/2007		Remplace	30/09/2011		Fin de mandat	En remplacement de M. Roland Muzeau, élu député
07026Q	Mme	Gonthier-Maurin	Brigitte	ANCIEN	12756	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Non réélu	
11015D	M.	Gorce	Gaëtan	ANCIEN	12452	25/09/2011	01/10/2011		Election	01/10/2017		Ne se représente pas	
04072J	M.	Goujon	Philippe	ANCIEN	10921	26/09/2004	01/10/2004		Election	29/11/2007		Élu député	
92024Q	M.	Goulet	Daniel	ANCIEN	263	27/09/1992	02/10/1992		Election	30/09/2001		Fin de mandat	
92024Q	M.	Goulet	Daniel	ANCIEN	6490	23/09/2001	01/10/2001		Renouvellement 1	25/02/2007	2007	Décédé	
07004J	Mme	Goulet	Nathalie	ACTIF	11233		26/02/2007		Remplace	30/09/2011		Fin de mandat	en remplacement de M. Daniel Goulet, décédé
07004J	Mme	Goulet	Nathalie	ACTIF	12671	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Fin de mandat	
07004J	Mme	Goulet	Nathalie	ACTIF	51076	24/09/2017	02/10/2017		Renouvellement 2			En Cours	
01007L	Mme	Gourault	Jacqueline	ANCIEN	6361	23/09/2001	01/10/2001		Election	30/09/2011		Fin de mandat	
01007L	Mme	Gourault	Jacqueline	ANCIEN	12441	25/09/2011	01/10/2011		Renouvellement 1	21/07/2017		Membre Gouvernement	
01007L	Mme	Gourault	Jacqueline	ANCIEN	51072	24/09/2017	02/10/2017		Réélection	02/11/2017		Membre Gouvernement	
95035G	M.	Gournac	Alain	ANCIEN	264	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95035G	M.	Gournac	Alain	ANCIEN	10858	26/09/2004	01/10/2004		Renouvellement 1	30/09/2011		Fin de mandat	
95035G	M.	Gournac	Alain	ANCIEN	12731	25/09/2011	01/10/2011		Renouvellement 2	01/10/2017		Ne se représente pas	
59230D	Mme	Gournay	Marie-Fanny	ANCIEN	2855		15/01/1990		Remplace	27/09/1992		Ne se représente pas	En remplacement de M. Pierre CAROUS, décédé
04060E	Mme	Gousseau	Adeline	ANCIEN	10876	26/09/2004	01/10/2004		Election	30/09/2007		Démissionnaire	
59231E	M.	Goussebaire-Dupin	Yves	ANCIEN	2857	25/09/1983	03/10/1983		Election	01/10/1992		Ne se représente pas	
78006D	M.	Gouteyron	Adrien	ANCIEN	265	11/06/1978	11/06/1978		Election	02/10/1983		Fin de mandat	
78006D	M.	Gouteyron	Adrien	ANCIEN	266	25/09/1983	03/10/1983		Renouvellement 1	01/10/1992		Fin de mandat	
78006D	M.	Gouteyron	Adrien	ANCIEN	267	27/09/1992	02/10/1992		Renouvellement 2	30/09/2001		Fin de mandat	
78006D	M.	Gouteyron	Adrien	ANCIEN	6504	23/09/2001	01/10/2001		Renouvellement 3	30/09/2011		Ne se représente pas	
58673Y	Mme	Goutmann	Marie-Thérèse	ANCIEN	2859	22/09/1968	02/10/1968		Election	02/10/1977		Fin de mandat	
58673Y	Mme	Goutmann	Marie-Thérèse	ANCIEN	2860	25/09/1977	03/10/1977		Renouvellement	23/07/1978		Élu député	
08056B	Mme	Goy-Chavent	Sylvie	ACTIF	11710	21/09/2008	01/10/2008		Election	30/09/2014		Fin de mandat	
08056B	Mme	Goy-Chavent	Sylvie	ACTIF	14154	28/09/2014	01/10/2014		Renouvellement			En Cours	
14211G	M.	Grand	Jean-Pierre	ACTIF	14108	28/09/2014	01/10/2014		Election			En Cours	
000097	M.	Grand	Lucien	ANCIEN	2862	26/04/1959	28/04/1959		Election	01/10/1962		Fin de mandat	
000097	M.	Grand	Lucien	ANCIEN	2863	23/09/1962	23/09/1962		Renouvellement 1	01/10/1971		Fin de mandat	
000097	M.	Grand	Lucien	ANCIEN	2864	26/09/1971	02/10/1971		Renouvellement 2	08/05/1978		Décédé	
58816V	M.	Grandon	Jacques	ANCIEN	2866		02/11/1986		Remplace	01/07/1988		Démissionnaire	En remplacement de M. René MONORY, nommé membre du Gouvernement
89031P	M.	Grandon	Jean	ANCIEN	268	24/09/1989	02/10/1989		Election	30/09/1998		Non réélu	
000765	M.	Grangier	Edouard	ANCIEN	5505		20/10/1972		Remplace	02/10/1977		Ne se représente pas	En remplacement de M. Marcel PELLENC, décédé
000370	M.	Gravier	Jean	ANCIEN	2868		09/02/1966		Remplace	01/10/1974		Fin de mandat	En remplacement de M. Edgar FAURE, nommé ministre
000370	M.	Gravier	Jean	ANCIEN	2869	22/09/1974	02/10/1974		Renouvellement	02/10/1983		Ne se représente pas	
57445J	M.	Gravier	Robert	ANCIEN	2875		08/06/1958		Renouvellement 3	27/04/1959		Fin de mandat	
57445J	M.	Gravier	Robert	ANCIEN	2876	26/04/1959	28/04/1959		Renouvellement	01/10/1965		Fin de mandat	
57445J	M.	Gravier	Robert	ANCIEN	2877	26/09/1965	02/10/1965		Renouvellement	01/10/1974		Ne se représente pas	
59537V	M.	Graziani	Paul	ANCIEN	2879		21/04/1986		Remplace	01/10/1986		Fin de mandat	En remplacement de M. Charles PASQUA nommé membre du Gouvernement
59537V	M.	Graziani	Paul	ANCIEN	2880	28/09/1986	02/10/1986		Renouvellement	01/10/1995		Ne se représente pas	
19565D	Mme	Gréaume	Michelle	ACTIF	51225	24/09/2017	02/10/2017		Election			En Cours	
000226	M.	Gregory	Léon-Jean	ANCIEN	2884		08/06/1958		Renouvellement 2	27/04/1959		Fin de mandat	
000226	M.	Gregory	Léon-Jean	ANCIEN	2885	26/04/1959	28/04/1959		Renouvellement 3	01/10/1965		Fin de mandat	
000226	M.	Gregory	Léon-Jean	ANCIEN	2886	26/09/1965	02/10/1965		Renouvellement	01/10/1974		Fin de mandat	
000226	M.	Gregory	Léon-Jean	ANCIEN	2887	22/09/1974	02/10/1974		Renouvellement	22/10/1982		Décédé	
19727D	Mme	Grelet-Certenais	Nadine	ACTIF	51468		01/10/2017		Remplace			En Cours	en remplacement de M. Jean-Claude Boulard, démissionnaire de son mandat
14033T	M.	Gremillet	Daniel	ACTIF	14275	28/09/2014	01/10/2014		Election			En Cours	
95036H	M.	Grignon	Francis	ANCIEN	269	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95036H	M.	Grignon	Francis	ANCIEN	10879	26/09/2004	01/10/2004		Renouvellement 1	26/11/2004		Annulé par CC	
95036H	M.	Grignon	Francis	ANCIEN	11127	20/02/2005	21/02/2005		Election	30/09/2014		Ne se représente pas	
98003L	M.	Grillot	Louis	ANCIEN	270		26/02/1998		Remplace	30/09/1998		Fin de mandat	En remplacement de M. Bernard BARBIER, décédé
98003L	M.	Grillot	Louis	ANCIEN	5181	27/09/1998	01/10/1998		Renouvellement 1	30/09/2008		Ne se représente pas	
59232F	M.	Grimaldi	Roland	ANCIEN	2889		01/10/1977		Remplace	02/10/1983		Fin de mandat	En remplacement de M. Victor PROVO, démissionnaire
59232F	M.	Grimaldi	Roland	ANCIEN	2890	25/09/1983	03/10/1983		Renouvellement	01/10/1992		Ne se représente pas	
000551	Mme	Gros	Brigitte	ANCIEN	2892		27/09/1973		Remplace	02/10/1977		Fin de mandat	En remplacement de M. Aimé BERGEAL, décédé
000551	Mme	Gros	Brigitte	ANCIEN	2893	25/09/1977	03/10/1977		Renouvellement	11/03/1985		Décédé	
000067	M.	Gros	Louis	ANCIEN	2896		28/06/1955		Renouvellement 1	05/05/1959		Fin de mandat	
000067	M.	Gros	Louis	ANCIEN	2897	05/05/1959	05/05/1959		Renouvellement 2	01/10/1965		Fin de mandat	
000067	M.	Gros	Louis	ANCIEN	2898	02/10/1965	02/10/1965		Renouvellement 3	01/10/1974		Fin de mandat	
000067	M.	Gros	Louis	ANCIEN	2899	02/10/1974	02/10/1974		Renouvellement	04/03/1977		Nommé membre CC	
11049P	M.	Grosdidier	François	ACTIF	12602	25/09/2011	01/10/2011		Election	01/10/2017		Fin de mandat	
11049P	M.	Grosdidier	François	ACTIF	51185	24/09/2017	02/10/2017		Renouvellement			En Cours	
14123H	M.	Grosperrin	Jacques	ACTIF	14147	28/09/2014	01/10/2014		Election			En Cours	
88009M	M.	Gruillot	Georges	ANCIEN	271		04/09/1988		Remplace	01/10/1989		Fin de mandat	En remplacement de M.Robert Schwint élu député
88009M	M.	Gruillot	Georges	ANCIEN	272	24/09/1989	02/10/1989		Renouvellement 1	30/09/1998		Fin de mandat	
88009M	M.	Gruillot	Georges	ANCIEN	5025	27/09/1998	01/10/1998		Renouvellement 2	30/09/2008		Ne se représente pas	
14026U	Mme	Gruny	Pascale	ACTIF	14141	28/09/2014	01/10/2014		Election			En Cours	
89032Q	M.	Guena	Yves	ANCIEN	2902	24/09/1989	02/10/1989		Election	12/01/1997		Nommé membre CC	
01057W	M.	Guené	Charles	ACTIF	6517	23/09/2001	01/10/2001		Election	30/09/2011		Fin de mandat	
01057W	M.	Guené	Charles	ACTIF	12442	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Fin de mandat	
01057W	M.	Guené	Charles	ACTIF	51071	24/09/2017	02/10/2017		Renouvellement 2			En Cours	
58949J	M.	Guenier	Jean	ANCIEN	2904		31/01/1989		Remplace	01/10/1989		Non réélu	En remplacement de M. Modeste LEGOUEZ, décédé
000224	M.	Gueril	Georges	ANCIEN	2906	26/04/1959	28/04/1959		Election	01/10/1962		Non réélu	
98022P	M.	Guérini	Jean-Noël	ACTIF	5087	27/09/1998	01/10/1998		Election	30/09/2008		Fin de mandat	
98022P	M.	Guérini	Jean-Noël	ACTIF	11576	21/09/2008	01/10/2008		Renouvellement 1	30/09/2014		Fin de mandat	
98022P	M.	Guérini	Jean-Noël	ACTIF	14204	28/09/2014	01/10/2014		Renouvellement 2			En Cours	
56531B	M.	Gueroui	Mohammed	ANCIEN	9538	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
11064N	M.	Guerriau	Joël	ACTIF	12716	25/09/2011	01/10/2011		Election	01/10/2017		Fin de mandat	
11064N	M.	Guerriau	Joël	ACTIF	51096	24/09/2017	02/10/2017		Renouvellement			En Cours	
01040M	M.	Guerry	Michel	ANCIEN	6462	23/09/2001	01/10/2001		Election	30/09/2011		Ne se représente pas	
01002F	M.	Guichard	Pierre	ANCIEN	5893		08/02/2001		Remplace	30/09/2001		Ne se représente pas	En remplacement de M. Pierre JEAMBRUN, décédé
19691J	Mme	Guidez	Jocelyne	ACTIF	51202	24/09/2017	02/10/2017		Election			En Cours	
58332E	M.	Guillard	Paul	ANCIEN	2909		03/03/1965		Remplace	01/10/1965		Fin de mandat	En remplacement de M. Albert BOUCHER, décédé
58332E	M.	Guillard	Paul	ANCIEN	2910	26/09/1965	02/10/1965		Renouvellement 1	01/10/1974		Fin de mandat	
58332E	M.	Guillard	Paul	ANCIEN	2911	22/09/1974	02/10/1974		Renouvellement 2	02/10/1983		Ne se représente pas	
08016S	M.	Guillaume	Didier	ANCIEN	11530	21/09/2008	01/10/2008		Election	30/09/2014		Fin de mandat	
08016S	M.	Guillaume	Didier	ANCIEN	14091	28/09/2014	01/10/2014		Renouvellement	16/11/2018		Membre Gouvernement	
59233G	M.	Guillaume	Robert	ANCIEN	2913	22/12/1977	22/12/1977		Remplace	02/10/1983		Fin de mandat	En remplacement de M. Pierre PETIT, décédé
59233G	M.	Guillaume	Robert	ANCIEN	2914	25/09/1983	03/10/1983		Renouvellement	01/10/1992		Ne se représente pas	
58625Q	M.	Guillaumot	Paul	ANCIEN	2916		03/07/1959		Remplace	01/10/1968		Fin de mandat	En remplacement de M. Philippe de RAINCOURT, décédé
58625Q	M.	Guillaumot	Paul	ANCIEN	2917	22/09/1968	02/10/1968		Renouvellement 1	02/10/1977		Fin de mandat	
58625Q	M.	Guillaumot	Paul	ANCIEN	2918	25/09/1977	03/10/1977		Renouvellement 2	01/10/1986		Ne se représente pas	
000216	M.	Guille	Georges	ANCIEN	2920	26/04/1959	28/04/1959		Election	01/10/1962		Fin de mandat	
000216	M.	Guille	Georges	ANCIEN	2921	23/09/1962	02/10/1962		Renouvellement	03/04/1967		Élu député	
14081Q	Mme	Guillemot	Annie	ACTIF	14120	28/09/2014	01/10/2014		Election			En Cours	
19553Y	Mme	Guillotin	Véronique	ACTIF	51127	24/09/2017	02/10/2017		Election			En Cours	
000459	M.	Guillou	Louis	ANCIEN	2924	23/09/1962	02/10/1962		Election	01/10/1971		Non réélu	
000721	M.	Guislain	Marcel	ANCIEN	5508		03/04/1967		Remplace	01/10/1974		Ne se représente pas	En remplacement de M. Charles NAVEAU, député
59538W	M.	Guyomard	Bernard	ANCIEN	2927		19/05/1989		Remplace	01/10/1995		Ne se représente pas	En remplacement de M. Dominique PADO, décédé
000092	M.	Guyot	Raymond	ANCIEN	2929		28/04/1959		Election	01/10/1968		Fin de mandat	
000092	M.	Guyot	Raymond	ANCIEN	2930	22/09/1968	02/10/1968		Renouvellement	02/10/1977		Ne se représente pas	
69001W	M.	Habert	Jacques	ANCIEN	273		21/03/1969		Remplace	01/10/1971		Fin de mandat	En remplacement de M. Henri LONGCHAMBON, décédé
69001W	M.	Habert	Jacques	ANCIEN	274	02/10/1971	02/10/1971		Renouvellement 1	01/10/1980		Fin de mandat	
69001W	M.	Habert	Jacques	ANCIEN	275	02/10/1980	02/10/1980		Renouvellement 2	01/10/1989		Fin de mandat	
69001W	M.	Habert	Jacques	ANCIEN	276	24/09/1989	02/10/1989		Renouvellement 3	30/09/1998		Ne se représente pas	
86030A	M.	Haenel	Hubert	ANCIEN	277	28/09/1986	02/10/1986		Election	01/10/1995		Fin de mandat	
86030A	M.	Haenel	Hubert	ANCIEN	278	24/09/1995	02/10/1995		Renouvellement 1	30/09/2004		Fin de mandat	
86030A	M.	Haenel	Hubert	ANCIEN	10797	26/09/2004	01/10/2004		Renouvellement 2	06/03/2010		Nommé membre CC	
000162	M.	Hakiki	Djilali	ANCIEN	9540	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
000602	M.	Hamecher	Marceau	ANCIEN	2936	25/09/1977	03/10/1977		Election	27/08/1978		Décédé	
86031B	M.	Hamel	Emmanuel	ANCIEN	279	28/09/1986	02/10/1986		Election	01/10/1995		Fin de mandat	
86031B	M.	Hamel	Emmanuel	ANCIEN	280	24/09/1995	02/10/1995		Renouvellement 1	04/11/2003	2003	Décédé	
58115W	M.	Hammann	Jean-Paul	ANCIEN	2938		07/05/1978		Remplace	28/07/1981		Démissionnaire	En remplacement de M. Daniel HOEFFEL, nommé membre du Gouvernement
58115W	M.	Hammann	Jean-Paul	ANCIEN	2940		01/05/1993		Remplace	24/09/1995		Ne se représente pas	En remplacement de M. Daniel HOEFFEL, nommé membre du Gouvernement
000218	M.	Hamon	Yves	ANCIEN	2942	26/04/1959	28/04/1959		Election	01/10/1962		Fin de mandat	
000218	M.	Hamon	Yves	ANCIEN	2943	23/09/1962	02/10/1962		Renouvellement	01/10/1971		Ne se représente pas	
19725B	Mme	Harribey	Laurence	ACTIF	51464		01/10/2017		Remplace			En Cours	en remplacement de M. Alain Anziani, démissionnaire de son mandat
19329S	M.	Hassani	Abdallah	ACTIF	51217	24/09/2017	02/10/2017		Election			En Cours	
95037J	M.	Haut	Claude	ACTIF	281	24/09/1995	02/10/1995		Election	02/05/1996		Annulé par CC	
95037J	M.	Haut	Claude	ACTIF	283		23/06/1996		Election	30/09/2004		Fin de mandat	
95037J	M.	Haut	Claude	ACTIF	11013	26/09/2004	01/10/2004		Renouvellement 1	30/09/2014		Fin de mandat	
95037J	M.	Haut	Claude	ACTIF	14176	28/09/2014	01/10/2014		Renouvellement 2			En Cours	
000406	M.	Heder	Léopold	ANCIEN	2951	26/09/1971	02/10/1971		Election	09/06/1978		Décédé	
92025R	Mme	Heinis	Anne	ANCIEN	284	27/09/1992	02/10/1992		Election	23/09/2001		Non réélu	
000185	M.	Henneguelle	Henri	ANCIEN	2953		03/04/1967		Remplace	01/10/1974		Ne se représente pas	En remplacement de M. Bernard CHOCHOY, député
01033N	Mme	Henneron	Françoise	ANCIEN	6443	23/09/2001	01/10/2001		Election	30/09/2011		Non réélu	
19569H	M.	Henno	Olivier	ACTIF	51224	24/09/2017	02/10/2017		Election			En Cours	
000110	M.	Henriet	Jacques	ANCIEN	2955	26/04/1959	28/04/1959		Election	01/10/1962		Fin de mandat	
000110	M.	Henriet	Jacques	ANCIEN	2956	23/09/1962	02/10/1962		Renouvellement 1	01/10/1971		Fin de mandat	
000110	M.	Henriet	Jacques	ANCIEN	2957	26/09/1971	02/10/1971		Renouvellement 2	01/10/1980		Ne se représente pas	
77028F	M.	Henry	Marcel	ANCIEN	285	25/09/1977	02/10/1977		Election	01/10/1986		Fin de mandat	
77028F	M.	Henry	Marcel	ANCIEN	286	28/09/1986	02/10/1986		Renouvellement 1	01/10/1995		Fin de mandat	
77028F	M.	Henry	Marcel	ANCIEN	287	24/09/1995	02/10/1995		Renouvellement 2	30/09/2004		Ne se représente pas	
000243	M.	Heon	Gustave	ANCIEN	2960	23/09/1962	02/10/1962		Election	01/10/1971		Fin de mandat	
000243	M.	Heon	Gustave	ANCIEN	2961	26/09/1971	02/10/1971		Renouvellement 1	01/10/1980		Fin de mandat	
000243	M.	Heon	Gustave	ANCIEN	2962	28/09/1980	02/10/1980		Renouvellement 2	29/09/1981		Décédé	
95038K	M.	Hérisson	Pierre	ANCIEN	288	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95038K	M.	Hérisson	Pierre	ANCIEN	10758	26/09/2004	01/10/2004		Renouvellement 1	30/09/2014		Ne se représente pas	
